# bin x_uniform uniform1 uniform2 x_gaussian gaussian1 gaussian2 
    1     0.01      22      17     -2.94         0       1
    2     0.03      23      23     -2.82         2       0
    3     0.05      24      28      -2.7         3       1
    4     0.07      23      17     -2.58         3       1
    5     0.09      21      20     -2.46         2       2
    6     0.11      22      26     -2.34         3       5
    7     0.13      12      20     -2.22         6       6
    8     0.15      21      18      -2.1         6       1
    9     0.17      24      15     -1.98         8       7
   10     0.19      17      22     -1.86        11       4
   11     0.21      22      21     -1.74         9      12
   12     0.23      16      17     -1.62        16       9
   13     0.25      11      17      -1.5        18      14
   14     0.27      18      11     -1.38        19      29
   15     0.29      23      19     -1.26        21      22
   16     0.31      26      19     -1.14        23      35
   17     0.33      19      21     -1.02        32      25
   18     0.35      20      24      -0.9        37      37
   19     0.37      21      25     -0.78        37      38
   20     0.39      11      23     -0.66        29      37
   21     0.41      30      21     -0.54        37      32
   22     0.43      16      21     -0.42        43      35
   23     0.45      19      23      -0.3        57      39
   24     0.47      19      25     -0.18        57      45
   25     0.49      20      18     -0.06        46      70
   26     0.51      21      17      0.06        51      44
   27     0.53      13      23      0.18        46      45
   28     0.55      17      29       0.3        39      58
   29     0.57      18      14      0.42        40      46
   30     0.59      24      24      0.54        47      44
   31     0.61      17      17      0.66        31      42
   32     0.63      19      16      0.78        39      32
   33     0.65      17      22       0.9        38      25
   34     0.67      24      20      1.02        27      26
   35     0.69      25      18      1.14        24      18
   36     0.71      18      21      1.26        16      25
   37     0.73      20      19      1.38        20      23
   38     0.75      20      17       1.5        14      20
   39     0.77      17      28      1.62        13       8
   40     0.79      22      20      1.74         7      13
   41     0.81      24      21      1.86         5       5
   42     0.83      28      20      1.98        10       3
   43     0.85      23      14       2.1         2       2
   44     0.87      16      27      2.22         2       2
   45     0.89      20      18      2.34         0       4
   46     0.91      18      13      2.46         2       2
   47     0.93      17      22      2.58         3       2
   48     0.95      19      17       2.7         0       2
   49     0.97      18      14      2.82         0       0
   50     0.99      25      18      2.94         0       1
